source_file,model,imagery,backbone,license_split,protocol,country,n_patches,pq,sq,rq,f1_5_95,poly_count_delta_mean,poly_count_delta_p50,bnd_err_mean_m,bnd_err_p95_m
planet_b3_augmax_full_22.csv,PRUE-FTP-B3-augmax,planet,efficientnet-b3,full,full_data_23region,vietnam,21,0.162619,0.707701,0.229785,0.107154,311.2857,228.0,4.7652,10.5817
planet_b3_augmax_full_missing13.csv,PRUE-FTP-B3-augmax,planet,efficientnet-b3,full,full_data_13region,austria,445,0.395451,0.775318,0.510050,0.306376,27.7258,10.0000,4.7371,12.3284
planet_b3_augmax_full_missing13.csv,PRUE-FTP-B3-augmax,planet,efficientnet-b3,full,full_data_13region,brazil,187,0.484844,0.887654,0.546209,0.450711,2.4599,1.0000,24.5018,89.3057
planet_b3_augmax_full_missing13.csv,PRUE-FTP-B3-augmax,planet,efficientnet-b3,full,full_data_13region,corsica,163,0.187109,0.804569,0.232558,0.152658,3.4847,0.0000,9.1246,27.9284
planet_b3_augmax_full_missing13.csv,PRUE-FTP-B3-augmax,planet,efficientnet-b3,full,full_data_13region,denmark,281,0.602646,0.865258,0.696492,0.544478,3.3274,2.0000,6.4158,23.7486
planet_b3_augmax_full_missing13.csv,PRUE-FTP-B3-augmax,planet,efficientnet-b3,full,full_data_13region,estonia,445,0.425017,0.839016,0.506566,0.368843,3.8225,2.0000,8.4676,28.1060
planet_b3_augmax_full_missing13.csv,PRUE-FTP-B3-augmax,planet,efficientnet-b3,full,full_data_13region,finland,359,0.561553,0.830246,0.676370,0.480771,3.6379,2.0000,5.2035,16.7259
planet_b3_augmax_full_missing13.csv,PRUE-FTP-B3-augmax,planet,efficientnet-b3,full,full_data_13region,france,275,0.498710,0.831989,0.599418,0.428346,7.9964,5.0000,7.7822,29.1467
planet_b3_augmax_full_missing13.csv,PRUE-FTP-B3-augmax,planet,efficientnet-b3,full,full_data_13region,luxembourg,66,0.411440,0.779742,0.527661,0.322330,16.8030,15.0000,6.6170,21.4839
planet_b3_augmax_full_missing13.csv,PRUE-FTP-B3-augmax,planet,efficientnet-b3,full,full_data_13region,netherlands,253,0.453562,0.842533,0.538331,0.396387,9.7589,3.0000,5.2359,17.6113
